geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
14000US36081080301,"Census Tract 803.01, Queens, NY",3441,731,407,205,11,17,0,13,2359,760,0,13,620,375,44,54,44,54,0,13
14000US36081080302,"Census Tract 803.02, Queens, NY",3567,804,844,359,1,3,0,13,2574,824,0,13,112,95,36,42,36,42,0,13
14000US36081080900,"Census Tract 809, Queens, NY",7434,1045,3662,853,337,159,0,18,2564,580,0,18,405,430,466,329,141,204,325,246
14000US36081081400,"Census Tract 814, Queens, NY",4971,841,375,321,1919,714,0,13,1516,468,0,13,1012,624,149,113,146,112,3,22
14000US36081081800,"Census Tract 818, Queens, NY",4239,803,483,274,1577,492,51,87,1285,566,0,13,656,388,187,137,114,101,73,68
14000US36081083700,"Census Tract 837, Queens, NY",5531,787,1101,458,72,96,43,80,3995,667,0,18,177,210,143,117,41,73,102,98
14000US36081083800,"Census Tract 838, Queens, NY",5904,903,909,521,817,432,161,184,2106,742,0,18,1284,727,627,413,560,409,67,78
14000US36081084000,"Census Tract 840, Queens, NY",7216,964,980,591,1115,390,73,86,2869,621,0,18,957,422,1222,695,1018,671,204,184
14000US36081084500,"Census Tract 845, Queens, NY",4984,703,614,292,503,324,135,202,2874,547,0,13,809,496,49,76,0,13,49,76
14000US36081084601,"Census Tract 846.01, Queens, NY",3081,428,704,169,165,101,37,59,1228,263,0,13,254,128,693,359,561,322,132,161
14000US36081084602,"Census Tract 846.02, Queens, NY",1201,523,162,83,297,150,0,13,310,242,0,13,75,54,357,430,319,428,38,53
14000US36081084901,"Census Tract 849.01, Queens, NY",2400,761,147,103,112,174,57,86,2032,833,0,13,38,62,14,25,14,25,0,13
14000US36081084902,"Census Tract 849.02, Queens, NY",4086,806,297,241,135,153,0,13,3446,871,0,13,208,220,0,13,0,13,0,13
14000US36081085300,"Census Tract 853, Queens, NY",5742,797,392,304,108,143,0,18,4735,706,0,18,189,200,318,305,115,191,203,238
14000US36081085500,"Census Tract 855, Queens, NY",7041,1194,880,474,35,43,152,186,4478,1160,0,18,1310,608,186,119,113,95,73,80
14000US36081085700,"Census Tract 857, Queens, NY",5033,791,439,132,138,87,0,18,3719,606,0,18,587,338,150,174,118,169,32,37
14000US36081085900,"Census Tract 859, Queens, NY",5465,1004,722,361,8,7,86,186,4415,932,0,18,79,93,155,175,124,158,31,64
14000US36081086100,"Census Tract 861, Queens, NY",2282,428,221,105,98,83,0,13,1750,396,0,13,188,141,25,20,14,15,11,13
14000US36081086300,"Census Tract 863, Queens, NY",6807,1004,837,433,208,215,0,18,4864,774,0,18,497,450,401,608,401,608,0,18
14000US36081086400,"Census Tract 864, Queens, NY",2827,442,718,214,198,151,10,14,723,235,0,13,886,355,292,184,223,138,69,81
14000US36081086500,"Census Tract 865, Queens, NY",4333,672,762,290,155,156,0,13,2827,753,0,13,329,236,260,291,52,78,208,248
14000US36081086900,"Census Tract 869, Queens, NY",1693,364,186,180,8,11,19,29,1462,328,0,13,18,22,0,13,0,13,0,13
14000US36081087100,"Census Tract 871, Queens, NY",3589,500,153,100,465,203,14,19,2362,439,0,13,344,185,251,197,72,76,179,132
14000US36081088400,"Census Tract 884, Queens, NY",9187,1183,7024,1076,363,352,0,18,235,243,0,18,774,431,791,529,539,485,252,215
14000US36081088902,"Census Tract 889.02, Queens, NY",5580,1011,1205,497,338,318,0,18,3149,669,0,18,734,614,154,186,29,48,125,191
14000US36081088903,"Census Tract 889.03, Queens, NY",5266,1072,441,266,45,41,0,18,3707,925,0,18,980,886,93,141,93,141,0,18
14000US36081089201,"Census Tract 892.01, Queens, NY",9069,1661,8314,1776,98,154,0,18,150,173,0,18,293,243,214,203,161,166,53,113
14000US36081089202,"Census Tract 892.02, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081090700,"Census Tract 907, Queens, NY",1590,280,345,129,0,13,0,13,799,269,0,13,425,203,21,34,21,34,0,13
14000US36081091602,"Census Tract 916.02, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081091603,"Census Tract 916.03, Queens, NY",3782,867,3713,861,9,15,0,13,20,27,0,13,0,13,40,44,0,13,40,44
14000US36081091604,"Census Tract 916.04, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081091800,"Census Tract 918, Queens, NY",13,12,13,12,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081091900,"Census Tract 919, Queens, NY",5776,1004,1126,345,257,129,0,18,2357,554,0,18,1737,893,299,152,198,127,101,81
14000US36081092200,"Census Tract 922, Queens, NY",2273,341,2165,334,0,13,0,13,5,7,0,13,40,51,63,81,0,13,63,81
14000US36081092500,"Census Tract 925, Queens, NY",3611,898,1106,518,8,9,0,13,1171,424,0,13,1081,726,245,260,245,260,0,13
14000US36081092800,"Census Tract 928, Queens, NY",3925,661,3782,652,0,13,0,13,117,121,0,13,0,13,26,40,26,40,0,13
14000US36081092900,"Census Tract 929, Queens, NY",7750,1180,2327,756,96,112,0,18,1829,826,29,48,2957,1180,512,284,457,270,55,49
14000US36081093401,"Census Tract 934.01, Queens, NY",4094,792,3596,548,62,43,0,13,85,64,0,13,314,347,37,27,6,14,31,23
14000US36081093402,"Census Tract 934.02, Queens, NY",4378,1031,3725,969,218,105,0,13,116,82,0,13,120,124,199,112,66,61,133,93
14000US36081093800,"Census Tract 938, Queens, NY",5289,744,3946,568,437,168,0,18,193,79,0,18,147,184,566,459,417,352,149,141
14000US36081093900,"Census Tract 939, Queens, NY",6245,935,2120,693,315,281,54,62,1808,440,0,18,1566,606,382,311,263,296,119,91
14000US36081094201,"Census Tract 942.01, Queens, NY",3343,647,1403,387,1016,251,0,13,54,47,0,13,482,284,388,280,349,277,39,40
14000US36081094202,"Census Tract 942.02, Queens, NY",6057,823,2470,600,2236,564,39,61,109,140,0,18,362,313,841,519,593,504,248,190
14000US36081094203,"Census Tract 942.03, Queens, NY",6701,948,4523,925,926,415,0,18,54,85,0,18,534,346,664,357,509,321,155,148
14000US36081094500,"Census Tract 945, Queens, NY",4081,696,1974,422,5,7,0,13,1094,428,0,13,520,362,488,363,420,353,68,86
14000US36081094700,"Census Tract 947, Queens, NY",2324,528,678,196,28,43,0,13,531,193,0,13,1040,488,47,52,47,52,0,13
14000US36081095400,"Census Tract 954, Queens, NY",6823,927,1212,345,3881,842,47,51,180,110,0,18,665,345,838,617,663,604,175,147
14000US36081096400,"Census Tract 964, Queens, NY",7271,969,1328,378,4203,900,0,18,496,179,0,18,577,447,667,317,431,235,236,185
14000US36081097202,"Census Tract 972.02, Queens, NY",3689,718,265,185,3041,778,0,13,32,41,0,13,251,155,100,101,13,23,87,98
14000US36081097204,"Census Tract 972.04, Queens, NY",4094,860,588,216,2534,752,0,13,203,116,0,13,286,196,483,324,344,294,139,109
14000US36081097205,"Census Tract 972.05, Queens, NY",3645,482,894,635,1766,524,0,13,526,716,0,13,314,293,145,160,145,160,0,13
14000US36081097206,"Census Tract 972.06, Queens, NY",2923,701,142,157,1566,536,0,13,0,13,0,13,563,553,652,370,652,370,0,13
14000US36081097207,"Census Tract 972.07, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081097300,"Census Tract 973, Queens, NY",2347,381,1997,391,14,21,0,13,126,91,0,13,75,77,135,128,103,98,32,41
14000US36081098100,"Census Tract 981, Queens, NY",2273,292,1703,289,0,13,0,13,445,176,0,13,48,61,77,72,77,72,0,13
14000US36081098700,"Census Tract 987, Queens, NY",2806,341,2320,355,52,65,6,9,307,149,0,13,54,55,67,66,45,62,22,25
14000US36081099100,"Census Tract 991, Queens, NY",7812,1201,5557,558,0,18,0,18,1161,571,0,18,925,1010,169,221,150,219,19,31
14000US36081099200,"Census Tract 992, Queens, NY",4402,644,869,498,1931,425,149,210,125,109,0,13,928,426,400,260,131,141,269,221
14000US36081099701,"Census Tract 997.01, Queens, NY",2880,323,1962,339,4,10,41,71,748,174,0,13,0,13,125,138,96,129,29,41
14000US36081099703,"Census Tract 997.03, Queens, NY",3990,597,2088,388,92,54,0,13,1359,526,0,13,222,195,229,164,124,100,105,142
14000US36081099704,"Census Tract 997.04, Queens, NY",7453,1532,5025,1472,147,127,66,49,1678,344,0,18,250,222,287,152,149,109,138,100
14000US36081099705,"Census Tract 997.05, Queens, NY",2698,640,1241,432,8,12,95,150,889,326,0,13,291,208,174,157,158,158,16,26
14000US36081099801,"Census Tract 998.01, Queens, NY",9308,1655,683,363,5531,962,0,18,280,223,0,18,1677,1434,1137,705,717,583,420,415
14000US36081099802,"Census Tract 998.02, Queens, NY",6489,1419,1361,477,4157,1305,0,18,218,211,38,57,327,326,388,399,372,398,16,26
14000US36081099900,"Census Tract 999, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081100801,"Census Tract 1008.01, Queens, NY",3042,745,988,318,1441,736,0,13,220,155,0,13,169,152,224,232,177,227,47,54
14000US36081100803,"Census Tract 1008.03, Queens, NY",4081,792,855,257,1976,573,0,13,156,156,0,13,542,559,552,490,347,446,205,178
14000US36081100804,"Census Tract 1008.04, Queens, NY",4952,1018,1588,849,3101,735,0,13,263,279,0,13,0,13,0,13,0,13,0,13
14000US36081101002,"Census Tract 1010.02, Queens, NY",5393,1230,3716,804,642,203,0,18,894,1132,0,18,119,176,22,28,8,15,14,24
14000US36081101003,"Census Tract 1010.03, Queens, NY",4279,1258,2215,1292,1157,563,32,53,24,23,0,13,767,481,84,98,57,83,27,44
14000US36081101004,"Census Tract 1010.04, Queens, NY",7499,1119,3626,976,2752,729,0,18,433,381,0,18,298,275,390,225,142,142,248,165
14000US36081101700,"Census Tract 1017, Queens, NY",6724,898,4336,730,66,71,0,18,1629,552,0,18,83,113,610,492,257,410,353,274
14000US36081102900,"Census Tract 1029, Queens, NY",3931,624,2794,579,50,36,0,13,571,268,15,24,341,284,160,123,40,50,120,137
14000US36081103201,"Census Tract 1032.01, Queens, NY",7226,1053,1402,549,3267,848,38,57,336,332,0,18,1110,621,1073,692,886,689,187,143
14000US36081103202,"Census Tract 1032.02, Queens, NY",8397,1472,5332,1305,1738,676,0,18,53,70,0,18,471,259,803,709,561,617,242,260
14000US36081103300,"Census Tract 1033, Queens, NY",4784,655,2294,384,98,106,0,13,2107,738,0,13,170,223,115,96,15,24,100,91
14000US36081103900,"Census Tract 1039, Queens, NY",7132,929,3489,696,0,18,0,18,2478,781,0,18,340,396,825,508,707,497,118,126
14000US36081104700,"Census Tract 1047, Queens, NY",7009,1251,2117,569,2,3,0,18,4214,830,0,18,674,1025,2,4,2,4,0,18
14000US36081105900,"Census Tract 1059, Queens, NY",3948,766,2368,722,1,2,0,13,1496,522,0,13,0,13,83,91,1,3,82,91
14000US36081107201,"Census Tract 1072.01, Queens, NY",2429,428,2102,481,50,53,0,13,232,258,0,13,40,37,5,8,5,8,0,13
14000US36081107202,"Census Tract 1072.02, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081108500,"Census Tract 1085, Queens, NY",2584,427,1599,392,60,41,0,13,720,223,0,13,88,72,117,84,98,81,19,21
14000US36081109300,"Census Tract 1093, Queens, NY",3123,614,1633,548,21,16,0,13,1246,324,0,13,19,28,204,178,145,170,59,56
14000US36081109700,"Census Tract 1097, Queens, NY",1726,291,970,234,20,20,0,13,580,163,0,13,75,62,81,70,50,66,31,29
14000US36081109900,"Census Tract 1099, Queens, NY",3471,562,2086,648,22,40,5,8,1071,323,0,13,249,177,38,39,1,8,37,38
14000US36081111300,"Census Tract 1113, Queens, NY",2636,426,1421,349,4,10,13,20,972,185,0,13,43,52,183,223,60,67,123,159
14000US36081112300,"Census Tract 1123, Queens, NY",2226,349,1005,271,219,157,0,13,594,198,0,13,249,154,159,111,73,77,86,82
14000US36081112900,"Census Tract 1129, Queens, NY",2327,508,1004,214,23,35,0,13,815,270,0,13,100,91,385,420,366,419,19,19
14000US36081113300,"Census Tract 1133, Queens, NY",1416,244,793,173,0,13,0,13,532,220,0,13,53,56,38,56,0,13,38,56
14000US36081113900,"Census Tract 1139, Queens, NY",3997,532,1572,310,56,72,0,13,1818,496,0,13,296,188,255,236,122,173,133,147
14000US36081114100,"Census Tract 1141, Queens, NY",2491,376,1536,396,1,3,0,13,842,193,0,13,45,43,67,50,41,38,26,27
14000US36081114700,"Census Tract 1147, Queens, NY",1910,348,998,300,0,13,0,13,743,178,0,13,113,149,56,57,9,13,47,51
14000US36081115100,"Census Tract 1151, Queens, NY",839,178,455,116,0,13,18,21,273,120,0,13,13,31,80,63,32,47,48,41
14000US36081115500,"Census Tract 1155, Queens, NY",2384,402,661,248,76,117,0,13,976,241,59,57,539,212,73,62,13,20,60,55
14000US36081115700,"Census Tract 1157, Queens, NY",3221,645,794,432,67,90,42,68,1822,334,0,13,384,271,112,141,90,138,22,28
14000US36081115900,"Census Tract 1159, Queens, NY",4209,567,687,324,15,21,0,13,3002,582,71,92,271,173,163,167,2,4,161,167
14000US36081116100,"Census Tract 1161, Queens, NY",3867,702,390,158,175,74,0,13,2905,711,0,13,288,182,109,67,50,45,59,53
14000US36081116301,"Census Tract 1163.01, Queens, NY",4771,720,824,306,190,81,0,13,3296,646,0,13,386,250,75,81,75,81,0,13
14000US36081116302,"Census Tract 1163.02, Queens, NY",4036,928,665,410,57,77,0,13,2806,984,0,13,508,461,0,13,0,13,0,13
14000US36081116700,"Census Tract 1167, Queens, NY",2083,406,233,171,10,13,15,23,1385,292,0,13,428,313,12,13,6,10,6,9
14000US36081117100,"Census Tract 1171, Queens, NY",2510,384,671,208,50,65,0,13,1436,333,0,13,282,173,71,94,28,34,43,64
14000US36081117500,"Census Tract 1175, Queens, NY",4541,761,1413,331,73,90,0,13,2560,754,0,13,353,203,142,99,18,27,124,97
14000US36081118100,"Census Tract 1181, Queens, NY",1734,367,756,308,108,122,0,13,700,190,0,13,96,59,74,57,66,55,8,12
14000US36081118500,"Census Tract 1185, Queens, NY",1930,399,349,186,26,50,0,13,792,230,0,13,585,322,178,196,155,184,23,55
14000US36081118700,"Census Tract 1187, Queens, NY",2497,419,614,195,22,22,0,13,1490,337,0,13,320,312,51,74,0,13,51,74
14000US36081118900,"Census Tract 1189, Queens, NY",1857,429,420,138,0,13,0,13,1365,426,0,13,43,49,29,41,0,13,29,41
14000US36081119100,"Census Tract 1191, Queens, NY",2944,605,738,276,0,13,0,13,2099,581,0,13,31,35,76,105,76,105,0,13
14000US36081119300,"Census Tract 1193, Queens, NY",2058,428,484,176,18,29,0,13,1153,231,0,13,144,123,259,368,243,364,16,22
14000US36081119500,"Census Tract 1195, Queens, NY",1559,369,474,140,2,3,168,231,482,171,0,13,428,300,5,8,0,13,5,8
14000US36081119900,"Census Tract 1199, Queens, NY",1618,360,389,180,4,5,0,13,1181,331,0,13,44,52,0,13,0,13,0,13
14000US36081120100,"Census Tract 1201, Queens, NY",1416,458,245,264,36,40,0,13,978,353,0,13,133,119,24,32,24,32,0,13
14000US36081120300,"Census Tract 1203, Queens, NY",1684,310,253,169,25,35,0,13,1323,317,0,13,70,57,13,17,0,13,13,17
14000US36081120500,"Census Tract 1205, Queens, NY",2748,495,228,144,37,38,0,13,2440,525,0,13,38,46,5,10,0,13,5,10
14000US36081120701,"Census Tract 1207.01, Queens, NY",3191,671,986,252,17,17,6,8,1954,591,0,13,54,35,174,93,144,89,30,29
14000US36081120702,"Census Tract 1207.02, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081121100,"Census Tract 1211, Queens, NY",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
14000US36081121500,"Census Tract 1215, Queens, NY",4804,632,1044,450,243,255,10,17,2771,398,0,13,314,196,422,356,178,192,244,297
14000US36081122300,"Census Tract 1223, Queens, NY",3152,751,1167,404,56,75,0,13,1693,632,0,13,136,126,100,101,21,33,79,97
14000US36081122702,"Census Tract 1227.02, Queens, NY",6454,1011,2383,871,1692,549,28,48,1171,530,0,18,749,501,431,357,219,248,212,213
14000US36081122703,"Census Tract 1227.03, Queens, NY",7738,1449,2722,781,1224,822,0,18,752,452,0,18,1998,1462,1042,657,736,571,306,276
14000US36081122704,"Census Tract 1227.04, Queens, NY",4590,1506,1603,526,443,681,63,98,947,254,0,13,191,313,1343,1413,1156,1378,187,271
14000US36081124100,"Census Tract 1241, Queens, NY",3978,684,1026,439,417,259,0,13,1922,433,0,13,422,433,191,105,54,57,137,82
14000US36081124700,"Census Tract 1247, Queens, NY",3668,586,1667,362,20,20,0,13,1919,538,0,13,17,26,45,71,45,71,0,13
14000US36081125700,"Census Tract 1257, Queens, NY",3418,673,477,211,533,227,0,13,1423,371,0,13,445,273,540,457,224,239,316,414
14000US36081126500,"Census Tract 1265, Queens, NY",1843,329,526,192,48,34,0,13,930,220,0,13,126,95,213,239,142,230,71,66
14000US36081126700,"Census Tract 1267, Queens, NY",4821,658,2235,424,605,224,8,15,1036,188,21,32,362,241,554,225,268,143,286,144
