geoid,name,B01003001,"B01003001, Error"
14000US36005029302,"Census Tract 293.02, Bronx, NY",6043,811
14000US36005029500,"Census Tract 295, Bronx, NY",4484,621
14000US36005029600,"Census Tract 296, Bronx, NY",1947,288
14000US36005029700,"Census Tract 297, Bronx, NY",4122,390
14000US36005030000,"Census Tract 300, Bronx, NY",6612,953
14000US36005030100,"Census Tract 301, Bronx, NY",1578,279
14000US36005030201,"Census Tract 302.01, Bronx, NY",3912,633
14000US36005030202,"Census Tract 302.02, Bronx, NY",5261,1072
14000US36005030701,"Census Tract 307.01, Bronx, NY",5718,1016
14000US36005030900,"Census Tract 309, Bronx, NY",4480,540
14000US36005031000,"Census Tract 310, Bronx, NY",4507,619
14000US36005031200,"Census Tract 312, Bronx, NY",1874,386
14000US36005031400,"Census Tract 314, Bronx, NY",2272,362
14000US36005031600,"Census Tract 316, Bronx, NY",1965,324
14000US36005031800,"Census Tract 318, Bronx, NY",2149,406
14000US36005031900,"Census Tract 319, Bronx, NY",211,234
14000US36005032300,"Census Tract 323, Bronx, NY",4789,584
14000US36005032400,"Census Tract 324, Bronx, NY",3326,582
14000US36005032600,"Census Tract 326, Bronx, NY",3643,645
14000US36005032800,"Census Tract 328, Bronx, NY",4140,492
14000US36005033000,"Census Tract 330, Bronx, NY",5575,693
14000US36005033201,"Census Tract 332.01, Bronx, NY",5334,978
14000US36005033202,"Census Tract 332.02, Bronx, NY",3775,516
14000US36005033400,"Census Tract 334, Bronx, NY",15,18
14000US36005033500,"Census Tract 335, Bronx, NY",2158,292
14000US36005033601,"Census Tract 336.01, Bronx, NY",4925,767
14000US36005033602,"Census Tract 336.02, Bronx, NY",1356,352
14000US36005033700,"Census Tract 337, Bronx, NY",2644,380
14000US36005033801,"Census Tract 338.01, Bronx, NY",2256,487
14000US36005033802,"Census Tract 338.02, Bronx, NY",1713,542
14000US36005034000,"Census Tract 340, Bronx, NY",5775,915
14000US36005034200,"Census Tract 342, Bronx, NY",1665,385
14000US36005034300,"Census Tract 343, Bronx, NY",1899,294
14000US36005034400,"Census Tract 344, Bronx, NY",2165,660
14000US36005034500,"Census Tract 345, Bronx, NY",3645,615
14000US36005034800,"Census Tract 348, Bronx, NY",6196,1012
14000US36005035000,"Census Tract 350, Bronx, NY",2207,370
14000US36005035100,"Census Tract 351, Bronx, NY",3744,499
14000US36005035600,"Census Tract 356, Bronx, NY",2206,411
14000US36005035800,"Census Tract 358, Bronx, NY",8758,1326
14000US36005035900,"Census Tract 359, Bronx, NY",2445,352
14000US36005036000,"Census Tract 360, Bronx, NY",3337,592
14000US36005036100,"Census Tract 361, Bronx, NY",5756,911
14000US36005036300,"Census Tract 363, Bronx, NY",7220,1190
14000US36005036400,"Census Tract 364, Bronx, NY",2641,432
14000US36005036501,"Census Tract 365.01, Bronx, NY",4234,745
14000US36005036502,"Census Tract 365.02, Bronx, NY",2502,519
14000US36005036700,"Census Tract 367, Bronx, NY",2198,470
14000US36005036800,"Census Tract 368, Bronx, NY",2365,452
14000US36005036901,"Census Tract 369.01, Bronx, NY",2151,381
14000US36005036902,"Census Tract 369.02, Bronx, NY",2212,264
14000US36005037000,"Census Tract 370, Bronx, NY",2479,436
14000US36005037100,"Census Tract 371, Bronx, NY",4176,746
14000US36005037200,"Census Tract 372, Bronx, NY",2142,439
14000US36005037300,"Census Tract 373, Bronx, NY",6697,1368
14000US36005037400,"Census Tract 374, Bronx, NY",3968,832
14000US36005037504,"Census Tract 375.04, Bronx, NY",3641,557
14000US36005037600,"Census Tract 376, Bronx, NY",2071,284
14000US36005037800,"Census Tract 378, Bronx, NY",3147,574
14000US36005037900,"Census Tract 379, Bronx, NY",6137,1101
14000US36005038000,"Census Tract 380, Bronx, NY",5035,721
14000US36005038100,"Census Tract 381, Bronx, NY",7707,1212
14000US36005038200,"Census Tract 382, Bronx, NY",3001,510
14000US36005038301,"Census Tract 383.01, Bronx, NY",5384,574
14000US36005038303,"Census Tract 383.03, Bronx, NY",3775,696
14000US36005038304,"Census Tract 383.04, Bronx, NY",2218,441
14000US36005038500,"Census Tract 385, Bronx, NY",5025,810
14000US36005038600,"Census Tract 386, Bronx, NY",9240,1523
14000US36005038700,"Census Tract 387, Bronx, NY",3582,444
14000US36005038800,"Census Tract 388, Bronx, NY",2881,465
14000US36005038900,"Census Tract 389, Bronx, NY",5333,803
14000US36005039000,"Census Tract 390, Bronx, NY",3108,733
14000US36005039100,"Census Tract 391, Bronx, NY",7082,1226
14000US36005039200,"Census Tract 392, Bronx, NY",1717,326
14000US36005039300,"Census Tract 393, Bronx, NY",8690,1419
14000US36005039400,"Census Tract 394, Bronx, NY",5254,764
14000US36005039500,"Census Tract 395, Bronx, NY",4286,926
14000US36005039600,"Census Tract 396, Bronx, NY",4522,805
14000US36005039700,"Census Tract 397, Bronx, NY",3689,351
14000US36005039800,"Census Tract 398, Bronx, NY",4209,819
14000US36005039901,"Census Tract 399.01, Bronx, NY",5312,819
14000US36005039902,"Census Tract 399.02, Bronx, NY",5570,728
14000US36005040100,"Census Tract 401, Bronx, NY",5086,690
14000US36005040302,"Census Tract 403.02, Bronx, NY",5331,1466
14000US36005040303,"Census Tract 403.03, Bronx, NY",4216,495
14000US36005040304,"Census Tract 403.04, Bronx, NY",3641,559
14000US36005040400,"Census Tract 404, Bronx, NY",3264,786
14000US36005040501,"Census Tract 405.01, Bronx, NY",3959,625
14000US36005040502,"Census Tract 405.02, Bronx, NY",7399,1040
14000US36005040600,"Census Tract 406, Bronx, NY",3997,677
14000US36005040701,"Census Tract 407.01, Bronx, NY",3136,613
14000US36005040702,"Census Tract 407.02, Bronx, NY",7137,860
14000US36005040800,"Census Tract 408, Bronx, NY",4994,869
14000US36005040900,"Census Tract 409, Bronx, NY",3272,584
14000US36005041100,"Census Tract 411, Bronx, NY",3677,653
14000US36005041300,"Census Tract 413, Bronx, NY",9110,1101
14000US36005041400,"Census Tract 414, Bronx, NY",5352,809
14000US36005041500,"Census Tract 415, Bronx, NY",6089,893
14000US36005041800,"Census Tract 418, Bronx, NY",3750,809
14000US36005041900,"Census Tract 419, Bronx, NY",6229,873
14000US36005042000,"Census Tract 420, Bronx, NY",4512,838
14000US36005042100,"Census Tract 421, Bronx, NY",5845,739
14000US36005042200,"Census Tract 422, Bronx, NY",2873,701
14000US36005042300,"Census Tract 423, Bronx, NY",4395,610
14000US36005042400,"Census Tract 424, Bronx, NY",2512,628
14000US36005042500,"Census Tract 425, Bronx, NY",6614,857
14000US36005042600,"Census Tract 426, Bronx, NY",7223,1553
14000US36005042800,"Census Tract 428, Bronx, NY",2099,510
14000US36005042901,"Census Tract 429.01, Bronx, NY",3257,483
14000US36005042902,"Census Tract 429.02, Bronx, NY",4165,463
14000US36005043000,"Census Tract 430, Bronx, NY",3565,804
14000US36005043101,"Census Tract 431.01, Bronx, NY",5844,1402
14000US36005043102,"Census Tract 431.02, Bronx, NY",5008,671
14000US36005043400,"Census Tract 434, Bronx, NY",3880,589
14000US36005043501,"Census Tract 435.01, Bronx, NY",1059,159
14000US36005043502,"Census Tract 435.02, Bronx, NY",0,13
14000US36005043503,"Census Tract 435.03, Bronx, NY",0,13
14000US36005043600,"Census Tract 436, Bronx, NY",2214,509
14000US36005044200,"Census Tract 442, Bronx, NY",4122,1318
14000US36005044400,"Census Tract 444, Bronx, NY",4725,833
14000US36005044800,"Census Tract 448, Bronx, NY",2231,470
14000US36005044901,"Census Tract 449.01, Bronx, NY",1995,335
14000US36005044902,"Census Tract 449.02, Bronx, NY",2160,337
14000US36005045101,"Census Tract 451.01, Bronx, NY",1490,315
14000US36005045102,"Census Tract 451.02, Bronx, NY",2159,402
14000US36005045600,"Census Tract 456, Bronx, NY",3637,622
14000US36005045800,"Census Tract 458, Bronx, NY",5381,825
14000US36005046000,"Census Tract 460, Bronx, NY",3108,691
14000US36005046203,"Census Tract 462.03, Bronx, NY",7733,1612
14000US36005046204,"Census Tract 462.04, Bronx, NY",6891,1350
14000US36005046205,"Census Tract 462.05, Bronx, NY",3053,643
14000US36005046206,"Census Tract 462.06, Bronx, NY",4084,1233
14000US36005046207,"Census Tract 462.07, Bronx, NY",6351,1428
14000US36005046208,"Census Tract 462.08, Bronx, NY",5879,1015
14000US36005046209,"Census Tract 462.09, Bronx, NY",5039,1462
14000US36005048401,"Census Tract 484.01, Bronx, NY",4213,800
14000US36005048402,"Census Tract 484.02, Bronx, NY",0,13
14000US36005050400,"Census Tract 504, Bronx, NY",0,13
14000US36005051601,"Census Tract 516.01, Bronx, NY",4417,868
14000US36005051602,"Census Tract 516.02, Bronx, NY",0,13
14000US36047000100,"Census Tract 1, Kings, NY",4722,626
14000US36047000200,"Census Tract 2, Kings, NY",1160,270
14000US36047000301,"Census Tract 3.01, Kings, NY",3892,683
14000US36047000501,"Census Tract 5.01, Kings, NY",4604,493
14000US36047000502,"Census Tract 5.02, Kings, NY",2826,269
14000US36047000700,"Census Tract 7, Kings, NY",4044,485
14000US36047000900,"Census Tract 9, Kings, NY",4687,602
14000US36047001100,"Census Tract 11, Kings, NY",1508,254
14000US36047001300,"Census Tract 13, Kings, NY",2028,314
14000US36047001501,"Census Tract 15.01, Kings, NY",5117,530
14000US36047001502,"Census Tract 15.02, Kings, NY",5074,685
14000US36047001801,"Census Tract 18.01, Kings, NY",2021,345
14000US36047001802,"Census Tract 18.02, Kings, NY",0,13
14000US36047001803,"Census Tract 18.03, Kings, NY",0,13
14000US36047001804,"Census Tract 18.04, Kings, NY",0,13
14000US36047002000,"Census Tract 20, Kings, NY",1845,614
14000US36047002100,"Census Tract 21, Kings, NY",5540,991
14000US36047002200,"Census Tract 22, Kings, NY",4083,808
14000US36047002300,"Census Tract 23, Kings, NY",4418,667
14000US36047002901,"Census Tract 29.01, Kings, NY",4370,617
14000US36047003000,"Census Tract 30, Kings, NY",1736,288
14000US36047003101,"Census Tract 31.01, Kings, NY",3608,495
14000US36047003102,"Census Tract 31.02, Kings, NY",0,13
14000US36047003300,"Census Tract 33, Kings, NY",4630,581
14000US36047003400,"Census Tract 34, Kings, NY",3582,511
14000US36047003500,"Census Tract 35, Kings, NY",2297,263
14000US36047003600,"Census Tract 36, Kings, NY",3699,363
14000US36047003700,"Census Tract 37, Kings, NY",3220,422
14000US36047003800,"Census Tract 38, Kings, NY",1512,334
14000US36047003900,"Census Tract 39, Kings, NY",2349,404
14000US36047004100,"Census Tract 41, Kings, NY",3535,600
14000US36047004300,"Census Tract 43, Kings, NY",3919,427
14000US36047004400,"Census Tract 44, Kings, NY",2335,280
14000US36047004500,"Census Tract 45, Kings, NY",3614,672
14000US36047004600,"Census Tract 46, Kings, NY",1386,228
14000US36047004700,"Census Tract 47, Kings, NY",1912,276
14000US36047004900,"Census Tract 49, Kings, NY",2833,404
14000US36047005000,"Census Tract 50, Kings, NY",2405,356
14000US36047005100,"Census Tract 51, Kings, NY",2967,533
14000US36047005201,"Census Tract 52.01, Kings, NY",1659,281
14000US36047005202,"Census Tract 52.02, Kings, NY",2734,367
14000US36047005301,"Census Tract 53.01, Kings, NY",2334,388
14000US36047005302,"Census Tract 53.02, Kings, NY",91,85
14000US36047005303,"Census Tract 53.03, Kings, NY",0,13
14000US36047005400,"Census Tract 54, Kings, NY",3388,535
14000US36047005601,"Census Tract 56.01, Kings, NY",2585,584
14000US36047005602,"Census Tract 56.02, Kings, NY",1867,401
14000US36047005800,"Census Tract 58, Kings, NY",3066,492
14000US36047005900,"Census Tract 59, Kings, NY",1234,159
14000US36047006000,"Census Tract 60, Kings, NY",3516,561
14000US36047006200,"Census Tract 62, Kings, NY",2536,625
14000US36047006300,"Census Tract 63, Kings, NY",2284,294
14000US36047006400,"Census Tract 64, Kings, NY",3264,498
14000US36047006500,"Census Tract 65, Kings, NY",6308,1240
14000US36047006600,"Census Tract 66, Kings, NY",3898,497
