,geoid,name,total_population,poc_percent,female_pop_percent,poverty_level_percent,over_65_percent
869,14000US36047055800,"Census Tract 558, Kings, NY",2511,31.899641577060933,52.648347272003186,20.07168458781362,19.872560732775785
870,14000US36047056000,"Census Tract 560, Kings, NY",3651,17.885510818953712,53.13612708846891,14.37962202136401,26.705012325390303
871,14000US36047056100,"Census Tract 561, Kings, NY",3776,23.861228813559322,45.86864406779661,5.879237288135593,9.984110169491526
872,14000US36047056200,"Census Tract 562, Kings, NY",1936,12.448347107438016,49.74173553719008,0.5681818181818182,17.613636363636363
873,14000US36047056301,"Census Tract 563.01, Kings, NY",4387,29.405060405744244,45.61203555960793,14.839297925689538,9.322999772053794
874,14000US36047056302,"Census Tract 563.02, Kings, NY",1638,44.93284493284493,56.227106227106226,13.186813186813186,5.067155067155067
875,14000US36047056400,"Census Tract 564, Kings, NY",2735,41.27970749542962,51.73674588665448,9.835466179159049,24.13162705667276
876,14000US36047056500,"Census Tract 565, Kings, NY",3432,13.286713286713287,55.39044289044289,5.273892773892774,12.937062937062937
877,14000US36047056600,"Census Tract 566, Kings, NY",2679,55.24449421425905,55.9163867114595,21.31392310563643,18.066442702500932
878,14000US36047056800,"Census Tract 568, Kings, NY",1440,42.43055555555556,51.94444444444444,18.61111111111111,23.88888888888889
879,14000US36047056900,"Census Tract 569, Kings, NY",1762,18.44494892167991,50.851305334846764,2.2701475595913734,15.266742338251987
880,14000US36047057000,"Census Tract 570, Kings, NY",3790,33.95778364116095,53.43007915567282,10.105540897097626,32.9023746701847
881,14000US36047057100,"Census Tract 571, Kings, NY",4036,19.62338949454906,51.06541129831516,5.054509415262636,10.381565906838453
882,14000US36047057200,"Census Tract 572, Kings, NY",5394,74.990730441231,60.32628846866889,33.96366332962551,17.315535780496848
883,14000US36047057300,"Census Tract 573, Kings, NY",2545,15.12770137524558,54.06679764243615,11.394891944990176,10.805500982318271
884,14000US36047057400,"Census Tract 574, Kings, NY",2993,59.13798864016037,52.45573003675242,10.992315402606081,26.22786501837621
885,14000US36047057500,"Census Tract 575, Kings, NY",4417,23.99818881593842,50.26035770885216,13.085804844917364,10.980303373330315
886,14000US36047057600,"Census Tract 576, Kings, NY",3157,60.215394361735825,54.22869813113716,10.04117833386126,16.69306303452645
887,14000US36047057800,"Census Tract 578, Kings, NY",2964,48.144399460188936,50.53981106612686,21.558704453441294,21.01889338731444
888,14000US36047057901,"Census Tract 579.01, Kings, NY",1274,31.71114599686028,57.37833594976452,24.175824175824175,11.852433281004709
889,14000US36047057902,"Census Tract 579.02, Kings, NY",0,,,,
890,14000US36047058000,"Census Tract 580, Kings, NY",4214,54.793545325106784,51.09159943046986,25.01186521120076,14.380635975320361
891,14000US36047058200,"Census Tract 582, Kings, NY",2697,57.39710789766407,46.75565443084909,7.638116425658139,10.418984056358918
892,14000US36047058400,"Census Tract 584, Kings, NY",3655,28.48153214774282,59.12448700410397,6.347469220246238,15.075239398084815
893,14000US36047058600,"Census Tract 586, Kings, NY",2769,69.844709281329,45.90104730949801,16.901408450704224,18.020946189960274
894,14000US36047058800,"Census Tract 588, Kings, NY",3542,35.03670242800678,55.47713156408808,7.989836250705816,24.392998306041783
895,14000US36047058901,"Census Tract 589.01, Kings, NY",1804,4.822616407982261,51.829268292682926,6.7073170731707314,14.356984478935699
896,14000US36047058902,"Census Tract 589.02, Kings, NY",0,,,,
