geoid,name,B29001001,"B29001001, Error",B29001002,"B29001002, Error",B29001003,"B29001003, Error",B29001004,"B29001004, Error",B29001005,"B29001005, Error"
14000US36047041402,"Census Tract 414.02, Kings, NY",1241,212,143,57,303,108,299,84,496,152
14000US36047041500,"Census Tract 415, Kings, NY",2850,456,930,204,871,299,712,275,337,154
14000US36047041600,"Census Tract 416, Kings, NY",1453,276,382,189,319,96,388,119,364,103
14000US36047041700,"Census Tract 417, Kings, NY",2270,446,707,232,440,193,456,112,667,205
14000US36047041800,"Census Tract 418, Kings, NY",1387,290,375,148,240,103,338,109,434,89
14000US36047041900,"Census Tract 419, Kings, NY",2901,671,1407,643,539,164,667,143,288,88
14000US36047042000,"Census Tract 420, Kings, NY",1196,180,330,139,144,57,322,93,400,117
14000US36047042100,"Census Tract 421, Kings, NY",2859,429,998,277,882,217,647,268,332,143
14000US36047042200,"Census Tract 422, Kings, NY",2156,552,468,167,765,461,467,140,456,132
14000US36047042300,"Census Tract 423, Kings, NY",2785,513,1094,370,957,317,438,137,296,110
14000US36047042400,"Census Tract 424, Kings, NY",2191,554,219,86,635,146,768,249,569,329
14000US36047042500,"Census Tract 425, Kings, NY",2304,407,1153,385,806,186,319,94,26,41
14000US36047042600,"Census Tract 426, Kings, NY",2747,469,415,155,721,345,982,204,629,150
14000US36047042700,"Census Tract 427, Kings, NY",3510,419,1502,357,1207,273,550,322,251,133
14000US36047042800,"Census Tract 428, Kings, NY",2509,391,415,186,593,170,797,226,704,173
14000US36047042900,"Census Tract 429, Kings, NY",3280,479,1512,366,925,229,639,220,204,141
14000US36047043000,"Census Tract 430, Kings, NY",1616,292,398,148,341,145,494,122,383,163
14000US36047043100,"Census Tract 431, Kings, NY",2696,481,1367,356,808,209,336,153,185,74
14000US36047043200,"Census Tract 432, Kings, NY",2319,432,603,258,696,184,624,218,396,146
14000US36047043300,"Census Tract 433, Kings, NY",2147,421,909,296,453,207,441,144,344,108
14000US36047043400,"Census Tract 434, Kings, NY",2164,295,217,71,626,187,862,251,459,95
14000US36047043500,"Census Tract 435, Kings, NY",3116,575,818,253,1221,275,824,267,253,149
14000US36047043600,"Census Tract 436, Kings, NY",2637,504,441,183,785,254,809,307,602,178
14000US36047043700,"Census Tract 437, Kings, NY",3917,724,1765,476,1144,278,741,361,267,99
14000US36047043800,"Census Tract 438, Kings, NY",1466,247,367,92,313,117,424,82,362,148
14000US36047043900,"Census Tract 439, Kings, NY",2930,468,951,253,516,193,1074,237,389,168
14000US36047044000,"Census Tract 440, Kings, NY",1615,203,324,99,403,126,554,106,334,94
14000US36047044100,"Census Tract 441, Kings, NY",3549,804,1432,580,899,285,792,340,426,155
14000US36047044200,"Census Tract 442, Kings, NY",1609,265,194,72,316,111,469,133,630,223
14000US36047044300,"Census Tract 443, Kings, NY",3069,488,1195,357,945,262,622,226,307,151
14000US36047044400,"Census Tract 444, Kings, NY",2166,425,508,208,484,203,740,216,434,183
14000US36047044500,"Census Tract 445, Kings, NY",3140,473,892,266,1069,289,580,239,599,137
14000US36047044600,"Census Tract 446, Kings, NY",1141,224,230,76,384,144,383,111,144,79
14000US36047044700,"Census Tract 447, Kings, NY",1884,359,553,173,763,206,468,160,100,99
14000US36047044800,"Census Tract 448, Kings, NY",1275,200,173,66,301,85,285,127,516,108
14000US36047044901,"Census Tract 449.01, Kings, NY",2296,439,723,324,688,154,565,145,320,138
14000US36047044902,"Census Tract 449.02, Kings, NY",0,13,0,13,0,13,0,13,0,13
14000US36047045000,"Census Tract 450, Kings, NY",495,207,194,178,77,61,153,68,71,59
14000US36047045200,"Census Tract 452, Kings, NY",1640,268,391,122,337,132,359,118,553,127
14000US36047045300,"Census Tract 453, Kings, NY",1694,371,505,163,524,135,480,180,185,148
14000US36047045400,"Census Tract 454, Kings, NY",1050,330,256,110,172,135,342,120,280,61
14000US36047045600,"Census Tract 456, Kings, NY",1286,360,279,123,192,108,439,135,376,138
14000US36047045800,"Census Tract 458, Kings, NY",766,136,123,71,157,49,270,81,216,50
14000US36047046000,"Census Tract 460, Kings, NY",2124,338,502,161,554,190,688,162,380,147
14000US36047046201,"Census Tract 462.01, Kings, NY",1523,251,92,58,390,131,568,180,473,157
14000US36047046202,"Census Tract 462.02, Kings, NY",1231,238,326,104,229,100,434,96,242,65
14000US36047046400,"Census Tract 464, Kings, NY",1496,395,443,257,268,65,549,166,236,68
14000US36047046800,"Census Tract 468, Kings, NY",1141,367,252,127,258,108,287,91,344,341
14000US36047047000,"Census Tract 470, Kings, NY",1378,238,433,151,308,113,312,108,325,114
14000US36047047200,"Census Tract 472, Kings, NY",1468,233,354,119,373,141,377,87,364,151
14000US36047047400,"Census Tract 474, Kings, NY",1328,192,265,76,334,117,311,86,418,116
14000US36047047600,"Census Tract 476, Kings, NY",1539,340,326,207,391,238,255,131,567,216
14000US36047047700,"Census Tract 477, Kings, NY",2720,411,651,159,1335,300,515,253,219,111
14000US36047047800,"Census Tract 478, Kings, NY",2545,387,713,201,579,189,837,227,416,137
14000US36047048000,"Census Tract 480, Kings, NY",1792,432,399,192,348,162,588,226,457,168
14000US36047048100,"Census Tract 481, Kings, NY",2059,225,667,171,756,173,362,104,274,106
14000US36047048200,"Census Tract 482, Kings, NY",3821,806,493,180,1112,374,1227,419,989,316
14000US36047048400,"Census Tract 484, Kings, NY",3689,1065,1226,833,947,264,999,220,517,186
14000US36047048500,"Census Tract 485, Kings, NY",1864,238,800,181,682,178,261,110,121,55
14000US36047048600,"Census Tract 486, Kings, NY",1577,272,359,119,392,116,526,158,300,98
14000US36047048800,"Census Tract 488, Kings, NY",2917,463,638,177,697,179,1085,314,497,145
14000US36047048900,"Census Tract 489, Kings, NY",2425,362,800,216,351,96,792,197,482,97
14000US36047049000,"Census Tract 490, Kings, NY",3116,461,379,192,1450,381,585,205,702,282
14000US36047049100,"Census Tract 491, Kings, NY",4941,803,1115,416,1604,588,937,256,1285,362
14000US36047049200,"Census Tract 492, Kings, NY",1939,384,265,107,755,292,599,249,320,143
14000US36047049301,"Census Tract 493.01, Kings, NY",1417,226,293,126,457,121,364,94,303,203
14000US36047049302,"Census Tract 493.02, Kings, NY",3869,590,1013,317,1280,373,836,340,740,282
14000US36047049400,"Census Tract 494, Kings, NY",3915,561,373,122,1594,533,1059,182,889,178
14000US36047049500,"Census Tract 495, Kings, NY",1984,342,737,221,814,209,332,129,101,48
14000US36047049600,"Census Tract 496, Kings, NY",2282,387,347,171,723,216,768,186,444,159
14000US36047049700,"Census Tract 497, Kings, NY",2354,266,555,182,1199,225,403,112,197,72
14000US36047049800,"Census Tract 498, Kings, NY",2744,386,556,175,768,162,969,192,451,173
14000US36047049900,"Census Tract 499, Kings, NY",1367,222,380,134,583,143,309,101,95,50
14000US36047050001,"Census Tract 500.01, Kings, NY",1660,335,116,67,478,99,708,209,358,160
14000US36047050002,"Census Tract 500.02, Kings, NY",1264,233,149,79,451,174,412,103,252,110
14000US36047050100,"Census Tract 501, Kings, NY",2677,391,816,245,1092,352,460,167,309,165
14000US36047050202,"Census Tract 502.02, Kings, NY",1855,288,155,133,383,133,761,189,556,240
14000US36047050300,"Census Tract 503, Kings, NY",2340,496,1011,462,933,180,279,96,117,59
14000US36047050401,"Census Tract 504.01, Kings, NY",2274,278,342,121,789,204,594,161,549,197
14000US36047050402,"Census Tract 504.02, Kings, NY",1203,398,44,46,402,184,518,365,239,127
14000US36047050500,"Census Tract 505, Kings, NY",2906,642,784,220,924,515,790,234,408,152
14000US36047050600,"Census Tract 506, Kings, NY",3669,667,997,362,819,178,1250,392,603,104
14000US36047050700,"Census Tract 507, Kings, NY",1305,270,444,128,585,232,223,71,53,43
14000US36047050801,"Census Tract 508.01, Kings, NY",2336,321,510,183,777,242,614,179,435,126
